"Date(UTC)","UnixTimeStamp","Value (Wei)"
"8/29/2020","1598659200","20930232558"
"8/30/2020","1598745600","305000000000"
"8/31/2020","1598832000","20233009709"
"9/1/2020","1598918400","28523076923"
"9/2/2020","1599004800","26345407250"
"9/3/2020","1599091200","30682402101"
"9/4/2020","1599177600","27421633565"
"9/5/2020","1599264000","100998102386"
"9/6/2020","1599350400","22238405263"
"9/7/2020","1599436800","21650198231"
"9/8/2020","1599523200","20212697760"
"9/9/2020","1599609600","20304665970"
"9/10/2020","1599696000","21190565784"
"9/11/2020","1599782400","26187158734"
"9/12/2020","1599868800","25671454944"
"9/13/2020","1599955200","25843072130"
"9/14/2020","1600041600","42648225103"
"9/15/2020","1600128000","33800627645"
"9/16/2020","1600214400","28222539695"
"9/17/2020","1600300800","25756947970"
"9/18/2020","1600387200","25591573291"
"9/19/2020","1600473600","31242850523"
"9/20/2020","1600560000","28453012522"
"9/21/2020","1600646400","24635377936"
"9/22/2020","1600732800","33637294750"
"9/23/2020","1600819200","24451414805"
"9/24/2020","1600905600","29090268418"
"9/25/2020","1600992000","23054663600"
"9/26/2020","1601078400","22176524452"
"9/27/2020","1601164800","22481721889"
"9/28/2020","1601251200","23769512809"
"9/29/2020","1601337600","26188512992"
"9/30/2020","1601424000","22994360235"
"10/1/2020","1601510400","23461202417"
"10/2/2020","1601596800","23148075656"
"10/3/2020","1601683200","21959248786"
"10/4/2020","1601769600","21755157536"
"10/5/2020","1601856000","22859515814"
"10/6/2020","1601942400","25725439049"
"10/7/2020","1602028800","23057105090"
"10/8/2020","1602115200","24224526775"
"10/9/2020","1602201600","23038694360"
"10/10/2020","1602288000","21936636722"
"10/11/2020","1602374400","21484269057"
"10/12/2020","1602460800","22832352029"
"10/13/2020","1602547200","22773470224"
"10/14/2020","1602633600","22743718969"
"10/15/2020","1602720000","27954649838"
"10/16/2020","1602806400","22375637311"
"10/17/2020","1602892800","21787762684"
"10/18/2020","1602979200","22052686160"
"10/19/2020","1603065600","23103744742"
"10/20/2020","1603152000","22769750127"
"10/21/2020","1603238400","22983768723"
"10/22/2020","1603324800","23930739863"
"10/23/2020","1603411200","24175986855"
"10/24/2020","1603497600","21911885572"
"10/25/2020","1603584000","21943730018"
"10/26/2020","1603670400","23192443085"
"10/27/2020","1603756800","22394329263"
"10/28/2020","1603843200","22929258875"
"10/29/2020","1603929600","22741503978"
"10/30/2020","1604016000","22782040439"
"10/31/2020","1604102400","22809601452"
"11/1/2020","1604188800","21963096032"
"11/2/2020","1604275200","22970727958"
"11/3/2020","1604361600","22380132972"
"11/4/2020","1604448000","22132545574"
"11/5/2020","1604534400","22697986017"
"11/6/2020","1604620800","22288498781"
"11/7/2020","1604707200","22464813646"
"11/8/2020","1604793600","21454023087"
"11/9/2020","1604880000","21922421425"
"11/10/2020","1604966400","21854629704"
"11/11/2020","1605052800","23072565682"
"11/12/2020","1605139200","22937013580"
"11/13/2020","1605225600","23485920678"
"11/14/2020","1605312000","22239233995"
"11/15/2020","1605398400","22107798057"
"11/16/2020","1605484800","22774064340"
"11/17/2020","1605571200","24125797460"
"11/18/2020","1605657600","23277651218"
"11/19/2020","1605744000","22513766048"
"11/20/2020","1605830400","23904289941"
"11/21/2020","1605916800","22998016946"
"11/22/2020","1606003200","23111414179"
"11/23/2020","1606089600","23102980068"
"11/24/2020","1606176000","24729239422"
"11/25/2020","1606262400","22753877396"
"11/26/2020","1606348800","25864705970"
"11/27/2020","1606435200","21566325437"
"11/28/2020","1606521600","20987741291"
"11/29/2020","1606608000","21060776679"
"11/30/2020","1606694400","21694472804"
"12/1/2020","1606780800","22325184047"
"12/2/2020","1606867200","21268631318"
"12/3/2020","1606953600","21515265119"
"12/4/2020","1607040000","21970909427"
"12/5/2020","1607126400","21908265080"
"12/6/2020","1607212800","21922128588"
"12/7/2020","1607299200","21880064127"
"12/8/2020","1607385600","22249822679"
"12/9/2020","1607472000","22508608144"
"12/10/2020","1607558400","21708309217"
"12/11/2020","1607644800","22372594016"
"12/12/2020","1607731200","21597807210"
"12/13/2020","1607817600","21502172151"
"12/14/2020","1607904000","22890600630"
"12/15/2020","1607990400","23239803847"
"12/16/2020","1608076800","23866940840"
"12/17/2020","1608163200","24855907823"
"12/18/2020","1608249600","22405439774"
"12/19/2020","1608336000","22556003354"
"12/20/2020","1608422400","23170806482"
"12/21/2020","1608508800","23073035040"
"12/22/2020","1608595200","22054754036"
"12/23/2020","1608681600","22918912670"
"12/24/2020","1608768000","21904153440"
"12/25/2020","1608854400","22137981551"
"12/26/2020","1608940800","21631559462"
"12/27/2020","1609027200","22690725817"
"12/28/2020","1609113600","22499222903"
"12/29/2020","1609200000","24968330267"
"12/30/2020","1609286400","24495796838"
"12/31/2020","1609372800","22465132904"
"1/1/2021","1609459200","22787693004"
"1/2/2021","1609545600","23141134343"
"1/3/2021","1609632000","23699285034"
"1/4/2021","1609718400","24146297683"
"1/5/2021","1609804800","23397630629"
"1/6/2021","1609891200","22767755113"
"1/7/2021","1609977600","23757435300"
"1/8/2021","1610064000","23320754031"
"1/9/2021","1610150400","22420128101"
"1/10/2021","1610236800","22198159274"
"1/11/2021","1610323200","24268331789"
"1/12/2021","1610409600","22137258706"
"1/13/2021","1610496000","22361896866"
"1/14/2021","1610582400","23412422229"
"1/15/2021","1610668800","23629473259"
"1/16/2021","1610755200","23410406244"
"1/17/2021","1610841600","24176515311"
"1/18/2021","1610928000","24109981284"
"1/19/2021","1611014400","23928294882"
"1/20/2021","1611100800","23448589192"
"1/21/2021","1611187200","23635308995"
"1/22/2021","1611273600","23581112363"
"1/23/2021","1611360000","22958222397"
"1/24/2021","1611446400","23749627465"
"1/25/2021","1611532800","23763932357"
"1/26/2021","1611619200","23239642287"
"1/27/2021","1611705600","23284663506"
"1/28/2021","1611792000","23948430417"
"1/29/2021","1611878400","24384469906"
"1/30/2021","1611964800","24244437118"
"1/31/2021","1612051200","24051282908"
"2/1/2021","1612137600","26264086210"
"2/2/2021","1612224000","26877628667"
"2/3/2021","1612310400","24451656852"
"2/4/2021","1612396800","22708461096"
"2/5/2021","1612483200","22236169471"
"2/6/2021","1612569600","21888884123"
"2/7/2021","1612656000","20584542255"
"2/8/2021","1612742400","20537923513"
"2/9/2021","1612828800","21407206652"
"2/10/2021","1612915200","21342369989"
"2/11/2021","1613001600","15824143985"
"2/12/2021","1613088000","15793110619"
"2/13/2021","1613174400","15321585840"
"2/14/2021","1613260800","15048819573"
"2/15/2021","1613347200","16649093498"
"2/16/2021","1613433600","16489780455"
"2/17/2021","1613520000","16510779738"
"2/18/2021","1613606400","16112049605"
"2/19/2021","1613692800","16030375826"
"2/20/2021","1613779200","16753944526"
"2/21/2021","1613865600","15584619398"
"2/22/2021","1613952000","16551389563"
"2/23/2021","1614038400","18394164418"
"2/24/2021","1614124800","15436426773"
"2/25/2021","1614211200","13867959149"
"2/26/2021","1614297600","13757219203"
"2/27/2021","1614384000","13210656560"
"2/28/2021","1614470400","13249574972"
"3/1/2021","1614556800","12933197654"
"3/2/2021","1614643200","13000777771"
"3/3/2021","1614729600","12595772184"
"3/4/2021","1614816000","12567811849"
"3/5/2021","1614902400","12448908537"
"3/6/2021","1614988800","12802888309"
"3/7/2021","1615075200","12723293629"
"3/8/2021","1615161600","12402210884"
"3/9/2021","1615248000","13864108341"
"3/10/2021","1615334400","13241831197"
"3/11/2021","1615420800","13088281759"
"3/12/2021","1615507200","13692294672"
"3/13/2021","1615593600","12967273389"
"3/14/2021","1615680000","13541037397"
"3/15/2021","1615766400","13351951465"
"3/16/2021","1615852800","13526968684"
"3/17/2021","1615939200","13854686060"
"3/18/2021","1616025600","14188072039"
"3/19/2021","1616112000","14190230806"
"3/20/2021","1616198400","13923338550"
"3/21/2021","1616284800","14341476856"
"3/22/2021","1616371200","14775810105"
"3/23/2021","1616457600","15132207498"
"3/24/2021","1616544000","14628055587"
"3/25/2021","1616630400","16326196263"
"3/26/2021","1616716800","15904329721"
"3/27/2021","1616803200","16928603266"
"3/28/2021","1616889600","16329690377"
"3/29/2021","1616976000","16303678255"
"3/30/2021","1617062400","16231526025"
"3/31/2021","1617148800","15452534621"
"4/1/2021","1617235200","14075861362"
"4/2/2021","1617321600","15509805835"
"4/3/2021","1617408000","15365612837"
"4/4/2021","1617494400","15127493958"
"4/5/2021","1617580800","15940824683"
"4/6/2021","1617667200","16588640146"
"4/7/2021","1617753600","12640427999"
"4/8/2021","1617840000","9653167579"
"4/9/2021","1617926400","10957156422"
"4/10/2021","1618012800","10080792783"
"4/11/2021","1618099200","8608588329"
"4/12/2021","1618185600","9233913329"
"4/13/2021","1618272000","7987571643"
"4/14/2021","1618358400","8390363583"
"4/15/2021","1618444800","7298161736"
"4/16/2021","1618531200","8596272745"
"4/17/2021","1618617600","7555153056"
"4/18/2021","1618704000","7337975784"
"4/19/2021","1618790400","7192088533"
"4/20/2021","1618876800","7456956035"
"4/21/2021","1618963200","7241536943"
"4/22/2021","1619049600","7392006939"
"4/23/2021","1619136000","7038012297"
"4/24/2021","1619222400","6522549094"
"4/25/2021","1619308800","6695162988"
"4/26/2021","1619395200","7118778356"
"4/27/2021","1619481600","7038800911"
"4/28/2021","1619568000","6978982862"
"4/29/2021","1619654400","6652751870"
"4/30/2021","1619740800","7186193263"
"5/1/2021","1619827200","6783809752"
"5/2/2021","1619913600","6327890849"
"5/3/2021","1620000000","6348812994"
"5/4/2021","1620086400","6563167910"
"5/5/2021","1620172800","6586329493"
"5/6/2021","1620259200","6750560614"
"5/7/2021","1620345600","6539461925"
"5/8/2021","1620432000","6429016315"
"5/9/2021","1620518400","6680409685"
"5/10/2021","1620604800","9104380132"
"5/11/2021","1620691200","13634185007"
"5/12/2021","1620777600","10867883158"
"5/13/2021","1620864000","8610176638"
"5/14/2021","1620950400","7423068951"
"5/15/2021","1621036800","7371505921"
"5/16/2021","1621123200","7268569665"
"5/17/2021","1621209600","7292146023"
"5/18/2021","1621296000","7346625471"
"5/19/2021","1621382400","9701125994"
"5/20/2021","1621468800","9369051756"
"5/21/2021","1621555200","8557572621"
"5/22/2021","1621641600","8212727762"
"5/23/2021","1621728000","9272127606"
"5/24/2021","1621814400","7942820314"
"5/25/2021","1621900800","7464908934"
"5/26/2021","1621987200","7265911859"
"5/27/2021","1622073600","7460654640"
"5/28/2021","1622160000","7463939005"
"5/29/2021","1622246400","7070863812"
"5/30/2021","1622332800","7350428868"
"5/31/2021","1622419200","6804591095"
"6/1/2021","1622505600","7806712673"
"6/2/2021","1622592000","6613550820"
"6/3/2021","1622678400","7387915312"
"6/4/2021","1622764800","7253734970"
"6/5/2021","1622851200","7102970196"
"6/6/2021","1622937600","6347596863"
"6/7/2021","1623024000","6855038392"
"6/8/2021","1623110400","6649351403"
"6/9/2021","1623196800","6756567242"
"6/10/2021","1623283200","6412934508"
"6/11/2021","1623369600","6958629231"
"6/12/2021","1623456000","6930051660"
"6/13/2021","1623542400","7702624392"
"6/14/2021","1623628800","7185416763"
"6/15/2021","1623715200","6954348761"
"6/16/2021","1623801600","6771312963"
"6/17/2021","1623888000","7592148472"
"6/18/2021","1623974400","8063409093"
"6/19/2021","1624060800","7526520612"
"6/20/2021","1624147200","8232887107"
"6/21/2021","1624233600","7619008612"
"6/22/2021","1624320000","9523222642"
"6/23/2021","1624406400","7400646605"
"6/24/2021","1624492800","8580318113"
"6/25/2021","1624579200","8173122748"
"6/26/2021","1624665600","8260807563"
"6/27/2021","1624752000","6922508494"
"6/28/2021","1624838400","7961320190"
"6/29/2021","1624924800","8485673665"
"6/30/2021","1625011200","9998861534"
"7/1/2021","1625097600","6576635318"
"7/2/2021","1625184000","10739883470"
"7/3/2021","1625270400","7466510765"
"7/4/2021","1625356800","9436685580"
"7/5/2021","1625443200","10775503026"
"7/6/2021","1625529600","9729772941"
"7/7/2021","1625616000","10598908684"
"7/8/2021","1625702400","9216339048"
"7/9/2021","1625788800","9055254207"
"7/10/2021","1625875200","7980233157"
"7/11/2021","1625961600","7169825815"
"7/12/2021","1626048000","9701573416"
"7/13/2021","1626134400","8640136626"
"7/14/2021","1626220800","9767079050"
"7/15/2021","1626307200","7285725283"
"7/16/2021","1626393600","6730780464"
"7/17/2021","1626480000","6304559372"
"7/18/2021","1626566400","6645422109"
"7/19/2021","1626652800","8396057029"
"7/20/2021","1626739200","6468586003"
"7/21/2021","1626825600","6354956780"
"7/22/2021","1626912000","7379249362"
"7/23/2021","1626998400","6779084268"
"7/24/2021","1627084800","6111663168"
"7/25/2021","1627171200","5685495933"
"7/26/2021","1627257600","5952534443"
"7/27/2021","1627344000","5883621893"
"7/28/2021","1627430400","6236884365"
"7/29/2021","1627516800","6093907723"
"7/30/2021","1627603200","6031164802"
"7/31/2021","1627689600","5960924451"
"8/1/2021","1627776000","6131336061"
"8/2/2021","1627862400","5958659033"
"8/3/2021","1627948800","6152418032"
"8/4/2021","1628035200","6283201850"
"8/5/2021","1628121600","6047309710"
"8/6/2021","1628208000","5867177164"
"8/7/2021","1628294400","6034763095"
"8/8/2021","1628380800","6019031512"
"8/9/2021","1628467200","6166493928"
"8/10/2021","1628553600","6074748448"
"8/11/2021","1628640000","6646572302"
"8/12/2021","1628726400","6394778769"
"8/13/2021","1628812800","6064552646"
"8/14/2021","1628899200","5994520555"
"8/15/2021","1628985600","6267103314"
"8/16/2021","1629072000","5937945249"
"8/17/2021","1629158400","5924833561"
"8/18/2021","1629244800","6046512176"
"8/19/2021","1629331200","5726321807"
"8/20/2021","1629417600","5990452999"
"8/21/2021","1629504000","6029778417"
"8/22/2021","1629590400","5878329668"
"8/23/2021","1629676800","6112676763"
"8/24/2021","1629763200","6595750538"
"8/25/2021","1629849600","6985429980"
"8/26/2021","1629936000","6364479950"
"8/27/2021","1630022400","6389107356"
"8/28/2021","1630108800","5958430566"
"8/29/2021","1630195200","5927534129"
"8/30/2021","1630281600","6125363485"
"8/31/2021","1630368000","6000364373"
"9/1/2021","1630454400","6018403992"
"9/2/2021","1630540800","5942524925"
"9/3/2021","1630627200","6280201321"
"9/4/2021","1630713600","6537691663"
"9/5/2021","1630800000","5916459035"
"9/6/2021","1630886400","6842303911"
"9/7/2021","1630972800","7220709436"
"9/8/2021","1631059200","6439697258"
"9/9/2021","1631145600","6231934345"
"9/10/2021","1631232000","6447959748"
"9/11/2021","1631318400","6482677394"
"9/12/2021","1631404800","6847753314"
"9/13/2021","1631491200","6434389794"
"9/14/2021","1631577600","6739858575"
"9/15/2021","1631664000","7398195673"
"9/16/2021","1631750400","7119348545"
"9/17/2021","1631836800","6431171498"
"9/18/2021","1631923200","6281952704"
"9/19/2021","1632009600","6328225763"
"9/20/2021","1632096000","6738604704"
"9/21/2021","1632182400","6605947872"
"9/22/2021","1632268800","6554146985"
"9/23/2021","1632355200","6399847322"
"9/24/2021","1632441600","6641963619"
"9/25/2021","1632528000","6599903742"
"9/26/2021","1632614400","6518883847"
"9/27/2021","1632700800","7101536460"
"9/28/2021","1632787200","6458277451"
"9/29/2021","1632873600","6602462104"
"9/30/2021","1632960000","6342375462"
"10/1/2021","1633046400","6447847104"
"10/2/2021","1633132800","6384699502"
"10/3/2021","1633219200","6104362348"
"10/4/2021","1633305600","6402203028"
"10/5/2021","1633392000","6190537673"
"10/6/2021","1633478400","6335187951"
"10/7/2021","1633564800","6733501579"
"10/8/2021","1633651200","6519914648"
"10/9/2021","1633737600","6225920986"
"10/10/2021","1633824000","6374721754"
"10/11/2021","1633910400","6306810473"
"10/12/2021","1633996800","6568357569"
"10/13/2021","1634083200","6444750149"
"10/14/2021","1634169600","6159929741"
"10/15/2021","1634256000","6434899386"
"10/16/2021","1634342400","6258645846"
"10/17/2021","1634428800","6044262110"
"10/18/2021","1634515200","6117661907"
"10/19/2021","1634601600","5903818541"
"10/20/2021","1634688000","6101052093"
"10/21/2021","1634774400","6173783119"
"10/22/2021","1634860800","6150748723"
"10/23/2021","1634947200","6120212705"
"10/24/2021","1635033600","6026211375"
"10/25/2021","1635120000","6174537294"
"10/26/2021","1635206400","6368394323"
"10/27/2021","1635292800","6688856590"
"10/28/2021","1635379200","6599633373"
"10/29/2021","1635465600","6247217521"
"10/30/2021","1635552000","6569365767"
"10/31/2021","1635638400","6795297289"
"11/1/2021","1635724800","6756569068"
"11/2/2021","1635811200","6714488655"
"11/3/2021","1635897600","6753615682"
"11/4/2021","1635984000","6690600404"
"11/5/2021","1636070400","6273922143"
"11/6/2021","1636156800","6402662608"
"11/7/2021","1636243200","6612039142"
"11/8/2021","1636329600","6485172328"
"11/9/2021","1636416000","6479264401"
"11/10/2021","1636502400","6821217898"
"11/11/2021","1636588800","6334374818"
"11/12/2021","1636675200","6493897592"
"11/13/2021","1636761600","6824367768"
"11/14/2021","1636848000","6422981098"
"11/15/2021","1636934400","6429068883"
"11/16/2021","1637020800","7727774404"
"11/17/2021","1637107200","6591046562"
"11/18/2021","1637193600","6476640629"
"11/19/2021","1637280000","6513896298"
"11/20/2021","1637366400","6287401442"
"11/21/2021","1637452800","6233235763"
"11/22/2021","1637539200","6013015012"
"11/23/2021","1637625600","6446100671"
"11/24/2021","1637712000","6275741453"
"11/25/2021","1637798400","6295761963"
"11/26/2021","1637884800","6319310112"
"11/27/2021","1637971200","6180117524"
"11/28/2021","1638057600","6174415702"
"11/29/2021","1638144000","6308102606"
"11/30/2021","1638230400","6386015819"
"12/1/2021","1638316800","7220561989"
"12/2/2021","1638403200","7654676899"
"12/3/2021","1638489600","6681590749"
"12/4/2021","1638576000","7121921251"
"12/5/2021","1638662400","6274861333"
"12/6/2021","1638748800","6405184552"
"12/7/2021","1638835200","7646033649"
"12/8/2021","1638921600","6457122415"
"12/9/2021","1639008000","6468337970"
"12/10/2021","1639094400","7513313030"
"12/11/2021","1639180800","6415503583"
"12/12/2021","1639267200","6159458550"
"12/13/2021","1639353600","6568074224"
"12/14/2021","1639440000","6419149728"
"12/15/2021","1639526400","6755845491"
"12/16/2021","1639612800","6939326676"
"12/17/2021","1639699200","7674122903"
"12/18/2021","1639785600","6777600485"
"12/19/2021","1639872000","6900010267"
"12/20/2021","1639958400","6909561135"
"12/21/2021","1640044800","7118426197"
"12/22/2021","1640131200","6752358788"
"12/23/2021","1640217600","6844154528"
"12/24/2021","1640304000","6513703020"
"12/25/2021","1640390400","6362199995"
"12/26/2021","1640476800","6439783251"
"12/27/2021","1640563200","6444396867"
"12/28/2021","1640649600","6990423862"
"12/29/2021","1640736000","6666474218"
"12/30/2021","1640822400","6754189556"
"12/31/2021","1640908800","6748972818"
"1/1/2022","1640995200","6825252000"
"1/2/2022","1641081600","6757159415"
"1/3/2022","1641168000","6644424233"
"1/4/2022","1641254400","6965796686"
"1/5/2022","1641340800","6942618345"
"1/6/2022","1641427200","6944948551"
"1/7/2022","1641513600","6865274026"
"1/8/2022","1641600000","6969308165"
"1/9/2022","1641686400","6883940711"
"1/10/2022","1641772800","7123371701"
"1/11/2022","1641859200","7121559699"
"1/12/2022","1641945600","6814737348"
"1/13/2022","1642032000","6813917932"
"1/14/2022","1642118400","6738206463"
"1/15/2022","1642204800","6728753615"
"1/16/2022","1642291200","6999673350"
"1/17/2022","1642377600","6438186980"
"1/18/2022","1642464000","6483391580"
"1/19/2022","1642550400","6316039965"
"1/20/2022","1642636800","6834166907"
"1/21/2022","1642723200","6943443599"
"1/22/2022","1642809600","7429353462"
"1/23/2022","1642896000","6542774466"
"1/24/2022","1642982400","6951107474"
"1/25/2022","1643068800","6818485349"
"1/26/2022","1643155200","6885801411"
"1/27/2022","1643241600","7314692856"
"1/28/2022","1643328000","6479284580"
"1/29/2022","1643414400","6497837247"
"1/30/2022","1643500800","6503550091"
"1/31/2022","1643587200","6961577458"
"2/1/2022","1643673600","6718285162"
"2/2/2022","1643760000","6522771111"
"2/3/2022","1643846400","6286209125"
"2/4/2022","1643932800","6760167561"
"2/5/2022","1644019200","6541066345"
"2/6/2022","1644105600","6291104369"
"2/7/2022","1644192000","6762895572"
"2/8/2022","1644278400","6657036983"
"2/9/2022","1644364800","6590885919"
"2/10/2022","1644451200","6837409047"
"2/11/2022","1644537600","6879142459"
"2/12/2022","1644624000","6579357217"
"2/13/2022","1644710400","6517459191"
"2/14/2022","1644796800","6458648923"
"2/15/2022","1644883200","6351447198"
"2/16/2022","1644969600","6498025184"
"2/17/2022","1645056000","6473131599"
"2/18/2022","1645142400","7120493695"
"2/19/2022","1645228800","6478067511"
"2/20/2022","1645315200","6589957561"
"2/21/2022","1645401600","6552371671"
"2/22/2022","1645488000","7020729785"
"2/23/2022","1645574400","7067171511"
"2/24/2022","1645660800","6985996299"
"2/25/2022","1645747200","7036757973"
"2/26/2022","1645833600","6464020212"
"2/27/2022","1645920000","6831097608"
"2/28/2022","1646006400","7615672073"
"3/1/2022","1646092800","6894371593"
"3/2/2022","1646179200","6470445426"
"3/3/2022","1646265600","7018510846"
"3/4/2022","1646352000","6430334648"
"3/5/2022","1646438400","6730917973"
"3/6/2022","1646524800","6607306148"
"3/7/2022","1646611200","6522761809"
"3/8/2022","1646697600","6564000254"
"3/9/2022","1646784000","6680149910"
"3/10/2022","1646870400","6597906968"
"3/11/2022","1646956800","6739273621"
"3/12/2022","1647043200","6784478066"
"3/13/2022","1647129600","6788261419"
"3/14/2022","1647216000","6713738207"
"3/15/2022","1647302400","6666081126"
"3/16/2022","1647388800","6598812772"
"3/17/2022","1647475200","7177541963"
"3/18/2022","1647561600","6753141083"
"3/19/2022","1647648000","7645601230"
"3/20/2022","1647734400","7724853571"
"3/21/2022","1647820800","7023869929"
"3/22/2022","1647907200","7236074508"
"3/23/2022","1647993600","6876465780"
"3/24/2022","1648080000","6945672659"
"3/25/2022","1648166400","6693218115"
"3/26/2022","1648252800","6659830721"
"3/27/2022","1648339200","6637594601"
"3/28/2022","1648425600","7000328701"
"3/29/2022","1648512000","7022524923"
"3/30/2022","1648598400","7088446354"
"3/31/2022","1648684800","6819763327"
"4/1/2022","1648771200","7044488268"
"4/2/2022","1648857600","6939536613"
"4/3/2022","1648944000","6886423598"
"4/4/2022","1649030400","6810274274"
"4/5/2022","1649116800","6620081721"
"4/6/2022","1649203200","6688190391"
"4/7/2022","1649289600","6894161287"
"4/8/2022","1649376000","7028736943"
"4/9/2022","1649462400","7085440169"
"4/10/2022","1649548800","7125318052"
"4/11/2022","1649635200","7245629077"
"4/12/2022","1649721600","7077349086"
"4/13/2022","1649808000","7076130472"
"4/14/2022","1649894400","7355795296"
"4/15/2022","1649980800","7193242726"
"4/16/2022","1650067200","7468777155"
"4/17/2022","1650153600","7103176811"
"4/18/2022","1650240000","6966629656"
"4/19/2022","1650326400","6879264552"
"4/20/2022","1650412800","6793403447"
"4/21/2022","1650499200","6979842983"
"4/22/2022","1650585600","6793868867"
"4/23/2022","1650672000","6450068252"
"4/24/2022","1650758400","6630263401"
"4/25/2022","1650844800","6858597825"
"4/26/2022","1650931200","7047591927"
"4/27/2022","1651017600","6923040384"
"4/28/2022","1651104000","7343348406"
"4/29/2022","1651190400","7424004205"
"4/30/2022","1651276800","7145368332"
"5/1/2022","1651363200","6896245404"
"5/2/2022","1651449600","7019358953"
"5/3/2022","1651536000","6770502512"
"5/4/2022","1651622400","6969794943"
"5/5/2022","1651708800","6904211426"
"5/6/2022","1651795200","6899770781"
"5/7/2022","1651881600","6734912026"
"5/8/2022","1651968000","6873359439"
"5/9/2022","1652054400","7214996390"
"5/10/2022","1652140800","7475594791"
"5/11/2022","1652227200","8268875158"
"5/12/2022","1652313600","7792918016"
"5/13/2022","1652400000","7024016726"
"5/14/2022","1652486400","6494212388"
"5/15/2022","1652572800","6671203255"
"5/16/2022","1652659200","7073857193"
"5/17/2022","1652745600","6888530718"
"5/18/2022","1652832000","6971754711"
"5/19/2022","1652918400","6831510714"
"5/20/2022","1653004800","6729216615"
"5/21/2022","1653091200","6545652942"
"5/22/2022","1653177600","6380630541"
"5/23/2022","1653264000","6919503926"
"5/24/2022","1653350400","6536323652"
"5/25/2022","1653436800","6819635958"
"5/26/2022","1653523200","6680627326"
"5/27/2022","1653609600","6571831491"
"5/28/2022","1653696000","6822243150"
"5/29/2022","1653782400","8886813379"
"5/30/2022","1653868800","6776908617"
"5/31/2022","1653955200","6891699396"
"6/1/2022","1654041600","6807853348"
"6/2/2022","1654128000","6794854367"
"6/3/2022","1654214400","6418852495"
"6/4/2022","1654300800","6488394138"
"6/5/2022","1654387200","6579726262"
"6/6/2022","1654473600","6735595138"
"6/7/2022","1654560000","6765142231"
"6/8/2022","1654646400","6658879995"
"6/9/2022","1654732800","7330841063"
"6/10/2022","1654819200","6719738835"
"6/11/2022","1654905600","7007960504"
"6/12/2022","1654992000","6797235401"
"6/13/2022","1655078400","7150585881"
"6/14/2022","1655164800","7601269164"
"6/15/2022","1655251200","7415451520"
"6/16/2022","1655337600","6621037439"
"6/17/2022","1655424000","6426561800"
"6/18/2022","1655510400","7087739509"
"6/19/2022","1655596800","6720386815"
"6/20/2022","1655683200","6667687459"
"6/21/2022","1655769600","6640600493"
"6/22/2022","1655856000","6623369157"
"6/23/2022","1655942400","6578641334"
"6/24/2022","1656028800","6345959239"
"6/25/2022","1656115200","6254517013"
"6/26/2022","1656201600","6309535995"
"6/27/2022","1656288000","6563037911"
"6/28/2022","1656374400","6779116519"
"6/29/2022","1656460800","6677676023"
"6/30/2022","1656547200","6874886582"
"7/1/2022","1656633600","6736904509"
"7/2/2022","1656720000","6663781388"
"7/3/2022","1656806400","7188981398"
"7/4/2022","1656892800","7031888536"
"7/5/2022","1656979200","6614932956"
"7/6/2022","1657065600","6629966274"
"7/7/2022","1657152000","6658936950"
"7/8/2022","1657238400","7018677500"
"7/9/2022","1657324800","6509567613"
"7/10/2022","1657411200","6565817989"
"7/11/2022","1657497600","6578839662"
"7/12/2022","1657584000","6531377128"
"7/13/2022","1657670400","6897917417"
"7/14/2022","1657756800","7077356723"
"7/15/2022","1657843200","7735269075"
"7/16/2022","1657929600","6595471719"
"7/17/2022","1658016000","6951675004"
"7/18/2022","1658102400","7054131543"
"7/19/2022","1658188800","6958715446"
"7/20/2022","1658275200","7287688116"
"7/21/2022","1658361600","6946946614"
"7/22/2022","1658448000","6935374595"
"7/23/2022","1658534400","6734846178"
"7/24/2022","1658620800","7476252969"
"7/25/2022","1658707200","7256576201"
"7/26/2022","1658793600","6908326160"
"7/27/2022","1658880000","8032363548"
"7/28/2022","1658966400","7187770700"
"7/29/2022","1659052800","6847373884"
"7/30/2022","1659139200","6808355038"
"7/31/2022","1659225600","6951472640"
"8/1/2022","1659312000","6999450042"
"8/2/2022","1659398400","7262052258"
"8/3/2022","1659484800","6964190138"
"8/4/2022","1659571200","7052437469"
"8/5/2022","1659657600","6944051843"
"8/6/2022","1659744000","7076345044"
"8/7/2022","1659830400","6873173730"
"8/8/2022","1659916800","6824406850"
